Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
Russian Federation,European Region of WHO,Eastern Europe,2018,26,25-06-18,01-07-18,23,1132,0,1,0,0,0,1,0,0,0,0,1,22,No Report
Russian Federation,European Region of WHO,Eastern Europe,2018,27,02-07-18,08-07-18,4,1150,0,4,2,0,0,6,0,0,0,0,6,,No Report
Russian Federation,European Region of WHO,Eastern Europe,2018,28,09-07-18,15-07-18,9,1075,0,2,0,0,0,2,0,0,0,0,2,9,No Report
Russian Federation,European Region of WHO,Eastern Europe,2018,29,16-07-18,22-07-18,0,1040,0,0,0,0,0,0,0,0,0,0,0,,No Report
Russian Federation,European Region of WHO,Eastern Europe,2018,30,23-07-18,29-07-18,77,1012,0,1,0,,0,1,0,0,0,0,1,77,No Report
Russian Federation,European Region of WHO,Eastern Europe,2018,31,30-07-18,05-08-18,16,890,0,0,0,,0,0,0,0,0,0,0,16,No Report
Russian Federation,European Region of WHO,Eastern Europe,2018,32,06-08-18,12-08-18,0,964,0,0,0,,0,0,0,0,0,0,0,,No Report
Russian Federation,European Region of WHO,Eastern Europe,2018,33,13-08-18,19-08-18,0,948,0,0,0,,0,0,0,0,1,1,1,,No Report
Russian Federation,European Region of WHO,Eastern Europe,2018,34,20-08-18,26-08-18,0,999,0,0,0,,0,0,0,0,0,0,0,,No Report
Russian Federation,European Region of WHO,Eastern Europe,2018,35,27-08-18,02-09-18,0,1026,0,0,0,,0,0,0,0,0,0,0,,No Report
Russian Federation,European Region of WHO,Eastern Europe,2018,36,03-09-18,09-09-18,0,1110,0,0,3,,0,3,0,0,0,0,3,,No Report
Russian Federation,European Region of WHO,Eastern Europe,2018,37,10-09-18,16-09-18,6,1308,0,0,1,0,0,1,0,0,0,0,1,5,No Report
Russian Federation,European Region of WHO,Eastern Europe,2018,38,17-09-18,23-09-18,1,1579,0,0,1,,0,1,0,0,0,0,1,1,No Report
Russian Federation,European Region of WHO,Eastern Europe,2018,39,24-09-18,30-09-18,,1552,0,2,0,,0,2,0,0,0,0,2,,No Report
Russian Federation,European Region of WHO,Eastern Europe,2018,40,01-10-18,07-10-18,1,1667,0,1,0,0,0,1,0,0,0,0,1,,No Report
Russian Federation,European Region of WHO,Eastern Europe,2018,41,08-10-18,14-10-18,0,1720,0,0,0,,0,0,0,0,0,0,0,,No Report
Russian Federation,European Region of WHO,Eastern Europe,2018,42,15-10-18,21-10-18,5,1965,0,3,1,0,0,4,0,0,0,0,4,2,No Report
Russian Federation,European Region of WHO,Eastern Europe,2018,43,22-10-18,28-10-18,0,2325,0,1,0,,0,1,0,0,0,0,1,,No Report
